"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
temp_what_action_7,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_7_oth},,,,,"[temp_action_taken_7] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_7_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_7(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_8_taken,temp,,radio,"Was temperature measured again?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_7_taken] = 'yes'",y,,,,,"Data Management
@NOMISSING"
temp_datetime_8,temp,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2><span style=""font-size: 14pt;"">Temperature (8)</span></h2> </div></div>",text,"Date and time of temperature recording ",,,datetime_dmy,[temp_datetime_7],today,,"[temp_8_taken] = 'yes'",y,,,,,"Core Outcome
Process Outcome"
temp_degrees_c_8,temp,,text,Temperature,,"In degrees Celsius",number_1dp,28.0,42.1,,"[temp_8_taken] = 'yes'",y,,,,,"Primary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
temp_degrees_c_8_low_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_8] <> '' and [temp_degrees_c_8] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_degrees_c_8_high_warn,temp,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[temp_degrees_c_8] <> '' and [temp_degrees_c_8] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
temp_action_taken_8,temp,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[temp_degrees_c_8] < 36.5 and [temp_8_taken] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
temp_what_action_8,temp,,checkbox,"What action was taken to warm the baby? ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{temp_what_action_8_oth},,,,,"[temp_action_taken_8] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
temp_what_action_8_oth,temp,,text,"Other (please specify)",,,,,,,"[temp_what_action_8(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
temp_error_order,temp,,descriptive,"<div style=""font-size: 120%; padding: 10px; color: rgb(152, 0, 21);border: 4px solid  rgb(152, 0, 21); background-color:  rgba(152, 0, 21, 0.1)"">It appears the temperatures entered are out of order. Please correct this issue. 

For your convenience, here is a summary of the dates/times entered:
<ol style=""font-weight:normal;""><li>Temperature date/time: [temp_datetime_1]</li><li>Temperature date/time: [temp_datetime_2]</li><li>Temperature date/time: [temp_datetime_3]</li><li>Temperature date/time: [temp_datetime_4]</li><li>Temperature date/time: [temp_datetime_5]</li><li>Temperature date/time: [temp_datetime_6]</li><li>Temperature date/time: [temp_datetime_7]</li><li>Temperature date/time: [temp_datetime_8]</li></ol></div>",,,,,,,"[temp_datetime_1] <> '' and
(
([temp_datetime_2] <> '' and ([temp_datetime_1] > [temp_datetime_2])) or
([temp_datetime_3] <> '' and ([temp_datetime_2] > [temp_datetime_3])) or
([temp_datetime_4] <> '' and ([temp_datetime_3] > [temp_datetime_4])) or
([temp_datetime_5] <> '' and ([temp_datetime_4] > [temp_datetime_5])) or
([temp_datetime_6] <> '' and ([temp_datetime_5] > [temp_datetime_6])) or
([temp_datetime_7] <> '' and ([temp_datetime_6] > [temp_datetime_7])) or
([temp_datetime_8] <> '' and ([temp_datetime_7] > [temp_datetime_8]))
)",,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_version,discharge,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
discharge_app_lasteditedby,discharge,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
discharge_title,discharge,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Discharge from Labour Ward/Maternity Theatre - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_where,discharge,,radio,"What was the outcome at the end of the baby's stay in labour ward/maternity theatre?","baby_transferred_to_newborn_unit, Baby transferred to newborn unit | baby_transferred_to_postnatal_ward, Baby transferred to postnatal ward | baby_died, Baby died | unknown, Unknown | other, Other (please specify)",{discharge_where_oth},,,,,,y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
discharge_where_oth,discharge,,text,"Other (please specify)",,,,,,,"[discharge_where] = 'other'",y,,,,,"Secondary Outcome
Core Outcome"
discharge_babydeath_warn,discharge,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">If the baby died, please complete the baby death form after completing this form.</div>",,,,,,,"[discharge_where] = 'baby_died'",,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_datetime,discharge,,text,"Date and time of discharge from labour ward/maternity theatre ",,,datetime_dmy,[babyenrol_dob],today,,"[discharge_where] = 'baby_transferred_to_newborn_unit' or [discharge_where] = 'baby_transferred_to_postnatal_ward' or [discharge_where] = 'other'",y,,,,,"Secondary Outcome
Core Outcome
@FORCE-MINMAX"
discharge_temp_check,discharge,,radio,"Was temperature checked at time of discharge from labour ward/maternity theatre? ","yes, Yes | no, No | unknown, Unknown",,,,,,"[discharge_where] = 'baby_transferred_to_newborn_unit' or [discharge_where] = 'baby_transferred_to_postnatal_ward' or [discharge_where] = 'other'",y,,,,,"Secondary Outcome
Core Outcome
Compliance Data
@NOMISSING"
discharge_temp,discharge,,text,"Temperature at discharge from labour ward/maternity theatre",,"In degrees Celsius",number_1dp,28.0,42.1,,"[discharge_temp_check] = 'yes'",y,,,,,"Primary Outcome
Secondary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
discharge_temp_low_warn,discharge,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[discharge_temp] <> '' and [discharge_temp] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_temp_high_warn,discharge,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[discharge_temp] <> '' and [discharge_temp] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_admission_datetime,discharge,,text,"Date and time of admission to next point of care",,,datetime_dmy,[discharge_datetime],today,,"[discharge_where] = 'baby_transferred_to_newborn_unit' or [discharge_where] = 'baby_transferred_to_postnatal_ward' or [discharge_where] = 'other'",y,,,,,"Secondary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
discharge_diagnosis,discharge,,radio,"Primary diagnosis on admission (for those babies transferred to the newborn unit) - in addition to prematurity or low birth weight. ","anaemia, Anaemia | birth_asphyxia, Birth asphyxia | jaundice, Jaundice | meconium_aspiration, Meconium aspiration | meningitis, Meningitis | multiple_delivery, Multiple delivery | newborn_respiratory_distress_syndrome, Newborn respiratory distress syndrome | neonatal_sepsis, Neonatal sepsis |no_additional_diagnoses, No additional diagnoses | unknown, Unknown | other, Other (please specify)",{discharge_diagnosis_oth},,,,,"[discharge_where] = 'baby_transferred_to_newborn_unit'",y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
discharge_diagnosis_oth,discharge,,text,"Other (please specify)",,,,,,,"[discharge_diagnosis] = 'other'",y,,,,,"Secondary Outcome
Core Outcome"
discharge_asphyxia,discharge,,radio,"Please select severity of asphyxia","severe_moderate, Severe/moderate | mild, Mild | unknown, Unknown",,,,,,"[discharge_diagnosis] = 'birth_asphyxia'",y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
discharge_admission_check,discharge,,radio,"Was temperature checked at time of admission to the next point of care? ","yes, Yes | no, No | unknown, Unknown",,,,,,"[discharge_where] = 'baby_transferred_to_newborn_unit' or [discharge_where] = 'baby_transferred_to_postnatal_ward' or [discharge_where] = 'other'",y,,,,,"Secondary Outcome
Core Outcome
Compliance Data
@NOMISSING"
discharge_admission_temp,discharge,,text,"Temperature at time of admission",,"In degrees Celsius",number_1dp,28.0,42.1,,"[discharge_admission_check] = 'yes'",y,,,,,"Primary Outcome
Secondary Outcome
Core Outcome
Process Outcome
@FORCE-MINMAX"
discharge_admission_temp_low_warn,discharge,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is < 30.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[discharge_admission_temp] <> '' and [discharge_admission_temp] < 30.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_admission_temp_high_warn,discharge,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">The temperature entered is > 41.0 degrees Celsius. Please doublecheck this value and ensure it is correct as it is plausible, but unlikely. </div>",,,,,,,"[discharge_admission_temp] <> '' and [discharge_admission_temp] > 41.0",,,,,,"Miscellaneous
@HIDDEN-PDF"
discharge_action,discharge,,radio,"Was action taken to warm the baby?","yes, Yes | no, No | unknown, Unknown",,,,,,"[discharge_admission_temp] < 36.5",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING"
discharge_warm,discharge,,checkbox,"What actions were taken to warm the baby?  ","hats, Hats | incubator, Incubator | plastic_wrap, Plastic wrap | radiant_warmer, Radiant warmer | room_temp_25_to_28_deg, Room temperature 25-28 degrees | skin_to_skin, Skin to skin | unknown, Unknown | other, Other (please specify)",{discharge_warm_oth},,,,,"[discharge_admission_temp] < 36.5 and [discharge_action] = 'yes'",y,,,,,"Compliance Data
Core Outcome
Process Outcome
@NOMISSING @NONEOFTHEABOVE='unknown'"
discharge_warm_oth,discharge,,text,"Other (please specify)",,,,,,,"[discharge_warm(other)] = '1'",y,,,,,"Compliance Data
Core Outcome
Process Outcome"
discharge_bs_check,discharge,,radio,"Was the baby's blood sugar checked as part of routine clinical care? ","yes, Yes | no, No | unknown, Unknown",,,,,,"[discharge_where] = 'baby_transferred_to_newborn_unit' or [discharge_where] = 'baby_transferred_to_postnatal_ward' or [discharge_where] = 'other'",y,,,,,"Secondary Outcome
Core Outcome
Process Outcome
@NOMISSING"
discharge_blood_sugar,discharge,,text,"Baby's blood sugar reading (checked as part of routine clinical care)",,mmol/L,number_1dp,,,,"[discharge_bs_check] = 'yes'",y,,,,,"Secondary Outcome
Core Outcome
Process Outcome"
babyoutcome_version,babyoutcome,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
babyoutcome_app_lasteditedby,babyoutcome,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
babyoutcome_title,babyoutcome,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Baby Outcome at Exit - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
babyoutcome_antibiotics,babyoutcome,,radio,"Did the baby receive any antibiotics in first 72 hours after birth? ","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
babyoutcome_in_hosp_day_7,babyoutcome,,radio,"Was the baby still in hospital on day 7?","yes, Yes | no, No",,,,,,,y,,,,,"Data Management
@NOMISSING"
babyoutcome_hosp_exit,babyoutcome,,radio,"Outcome at exit from study","discharged_home, Discharged home | transferred_to_another_hospital, Transferred to another hospital | died, Died",,,,,,"[babyoutcome_in_hosp_day_7] = 'no'",y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
babyoutcome_babydeath_warn,babyoutcome,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">If the baby died, please complete the baby death form after completing this form.</div>",,,,,,,"[babyoutcome_hosp_exit] = 'died'",,,,,,"Miscellaneous
@HIDDEN-PDF"
babyoutcome_discharge_date,babyoutcome,,text,"Date of discharge to either home or other hospital",,,date_dmy,[babyenrol_dob],today,,"[babyoutcome_hosp_exit] = 'discharged_home' or [babyoutcome_hosp_exit] = 'transferred_to_another_hospital'",y,,,,,"Secondary Outcome
Core Outcome
@FORCE-MINMAX"
babyoutcome_final_diag,babyoutcome,,radio,"Final diagnosis at discharge -  in addition to prematurity or low birth weight. ","anaemia, Anaemia | birth_asphyxia, Birth asphyxia | jaundice, Jaundice | meconium_aspiration, Meconium aspiration | meningitis, Meningitis | multiple_delivery, Multiple delivery | newborn_respiratory_distress_syndrome, Newborn respiratory distress syndrome | neonatal_sepsis, Neonatal sepsis |no_additional_diagnoses, No additional diagnoses | unknown, Unknown | other, Other (please specify)",{babyoutcome_diag_oth},,,,,"[babyoutcome_hosp_exit] = 'discharged_home' or [babyoutcome_hosp_exit] = 'transferred_to_another_hospital'",y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
babyoutcome_diag_oth,babyoutcome,,text,"Other (please specify)",,,,,,,"[babyoutcome_final_diag] = 'other'",y,,,,,"Secondary Outcome
Core Outcome"
babyoutcome_asphyxia,babyoutcome,,radio,"Please select severity of asphyxia","severe_moderate, Severe/moderate | mild, Mild | unknown, Unknown",,,,,,"[babyoutcome_final_diag] = 'birth_asphyxia'",y,,,,,"Secondary Outcome
Core Outcome
@NOMISSING"
babyoutcome_bf,babyoutcome,,radio,"At the time of discharge was the baby exclusively breastfeeding?","yes, Yes | no, No",,,,,,"[babyoutcome_hosp_exit] = 'discharged_home' or [babyoutcome_hosp_exit] = 'transferred_to_another_hospital'",y,,,,,"Secondary Outcome
Core Outcome"
babyoutcome_feeding_day8,babyoutcome,,checkbox,"How was the baby being fed? Select all that apply.","mothers_own_breast_milk, Mothers own breast milk | other_breast_milk, Other breast milk (e.g. donor milk) | formula_milk, Formula milk | other_type_of_milk, Other type of milk | unknown, Unknown | something_else, Something else (please specify)",{babyoutcome_feeding_anyels},,,,,"([babyoutcome_hosp_exit] = 'discharged_home' or [babyoutcome_hosp_exit] = 'transferred_to_another_hospital') and [babyoutcome_bf] = 'no'",y,,,,,"Secondary Outcome
Core Outcome
@NONEOFTHEABOVE='unknown' @NOMISSING"
babyoutcome_feeding_anyels,babyoutcome,,text,"Something else (please specify)",,,,,,,"[babyoutcome_feeding_day8(something_else)] = '1'",y,,,,,"Secondary Outcome
Core Outcome"
babyoutcome_days_care_lv1,babyoutcome,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><p>During the baby's initial hospital admission after birth, how many of the first 7 days after birth did the baby receive the following level(s) of neonatal care?<br><br><em><span style=""font-weight: normal;"">Please include the TOTAL number of days for each level of care. The highest level of care received should be recorded for any partial days. You do not need to include any subsequent neonatal care received in subsequent hospital admissions, e.g. if the baby was discharged home and then readmitted to hospital.</span></em></p></div></div>",text,"<div class=""rich-text-field-label""><p>Level 1 (special care)</p></div>",,"Enter a number between 0 and 7.",number,0,7,,,y,,,,,"Secondary Outcome
Core Outcome
@FORCE-MINMAX"
babyoutcome_days_care_lv2,babyoutcome,,text,"<div class=""rich-text-field-label""><p>Level 2 (intermediate)</p></div>",,"Enter a number between 0 and 7.",number,0,7,,,y,,,,,"Secondary Outcome
Core Outcome
@FORCE-MINMAX"
babyoutcome_days_care_lv3,babyoutcome,,text,"<div class=""rich-text-field-label""><p>Level 3 (NICU)</p></div>",,"Enter a number between 0 and 7.",number,0,7,,,y,,,,,"Secondary Outcome
Core Outcome
@FORCE-MINMAX"
telephone_version,telephone,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
telephone_app_lasteditedby,telephone,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
telephone_title,telephone,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Day 8 Telephone Call - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
telephone_dishcarged_7,telephone,,radio,"Has the baby been discharged prior to 7 days after birth?","yes, Yes | no, No | unknown, Unknown",,,,,,,y,,,,,"Core Outcome
Secondary Outcome
Data Management
@NOMISSING"
telephone_consent_day8,telephone,,radio,"Was consent obtained to telephone the Mother on day 8?","yes, Yes | no, No | unknown, Unknown",,,,,,"[telephone_dishcarged_7] = 'yes'",y,,,,,"Compliance Data
Process Outcome
Data Management
@NOMISSING"
telephone_consent_day8_no,telephone,,radio,"If no, why? ","discharged_prior_to_consent_discussion, Discharged prior to consent discussion | staff_error, Staff error (e.g. forgot) | unknown, Unknown",,,,,,"[telephone_consent_day8] = 'no'",y,,,,,"Compliance Data
Process Outcome
Regulatory Data
@NOMISSING"
telephone_dob_plus8days,telephone,,text,"8 days after date of birth (date day 8 telephone call due, if consented)",,,date_dmy,,,,,,,,,,"Data Management
@HIDDEN @CALCDATE([babyenrol_dob], 8,'d')"
telephone_call,telephone,"<h3 class=""h5"" style=""text-align: center; text-transform: capitalize;"">Date telephone call is due: [telephone_dob_plus8days]</h3>",radio,"Did the day 8 telephone call take place?","yes, Yes | no, No | unknown, Unknown",,,,,,"[telephone_consent_day8] = 'yes'",y,,,,,"Compliance Data
Process Outcome
Data Management
@NOMISSING"
telephone_call_no,telephone,,radio,"If no, why not?","withdrew, Withdrew | unable_to_contact, Unable to contact | staff_error, Staff error | unknown, Unknown | other, Other (please specify)",{telephone_call_no_oth},,,,,"[telephone_call] = 'no'",y,,,,,"Compliance Data
Data Management
@NOMISSING"
telephone_call_no_oth,telephone,,text,"Other (please specify)",,,,,,,"[telephone_call_no] = 'other'",y,,,,,"Compliance Data
Data Management"
telephone_day8,telephone,,radio,"Outcome of baby at day 8 ","alive_at_home, Alive at home | alive_at_another_hospital, Alive at another hospital | died, Died | unknown, Unknown",,,,,,"[telephone_consent_day8] = 'yes' and [telephone_call] = 'yes'",y,,,,,"Secondary Outcome
Core Outcome
Data Management
@NOMISSING"
telephone_babydeath_warn,telephone,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: #843a00; border: 4px solid  #843a00; background-color: rgba(132, 58, 0, 0.1);"">If the baby died, please complete the baby death form after completing this form.</div>",,,,,,,"[telephone_day8] = 'died'",,,,,,"Miscellaneous
@HIDDEN-PDF"
babydeath_version,babydeath,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
babydeath_lasteditedby,babydeath,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
babydeath_title,babydeath,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Baby Death - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
babydeath_date,babydeath,,text,"Date of death",,,date_dmy,[babyenrol_dob],today,,,y,,,,,"Secondary Outcome
Core Outcome
@FORCE-MINMAX"
babydeath_time,babydeath,,text,"Time of death",,,time,,,,,y,,,,,"Secondary Outcome
Core Outcome
@HIDEBUTTON"
babydeath_datetime,babydeath,,text,"Date and time of death",,,datetime_dmy,,,,,y,,,,,"Derived
Secondary Outcome
Core Outcome
@HIDDEN @CALCTEXT(concat([babydeath_date],' ',[babydeath_time]))"
babydeath_error_order,babydeath,,descriptive,"<div style=""font-size: 120%; padding: 10px; color: rgb(152, 0, 21);border: 4px solid  rgb(152, 0, 21); background-color:  rgba(152, 0, 21, 0.1)"">According to the data entered, the baby's death occurred before birth. Please correct this issue.

Date/time of birth: <span style=""font-weight:normal;"">[babyenrol_birth_datetime] <em>(from Baby Enrolment form)</em></span>
Date/time of death: <span style=""font-weight:normal;"">[babydeath_datetime]</span></div>",,,,,,,"[babyenrol_birth_datetime] > [babydeath_datetime] and [babydeath_date] <> '' and [babydeath_time] <> ''",,,,,,"Miscellaneous
@HIDDEN-PDF"
admin_version,administration_form_nctu_only,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
admin_title,administration_form_nctu_only,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Administration Form NCTU Only - [record-name] Baby #[current-instance]</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
admin_complete,administration_form_nctu_only,,radio,"Are all instruments complete for this record?","yes, Yes | no, No",,,,,,,y,,,,,"Data Management"
admin_resolve,administration_form_nctu_only,,radio,"Have all data queries been resolved for this record?","yes, Yes | no, No",,,,,,"[admin_complete] = 'yes'",y,,,,,"Data Management"
admin_locked,administration_form_nctu_only,,radio,"Have all completed instruments been soft locked for this record?","yes, Yes | no, No",,,,,,"[admin_resolve] = 'yes'",y,,,,,"Data Management"
admin_all_comp,administration_form_nctu_only,,descriptive,"<div class=""rich-text-field-label""><p><span style=""background-color: #eccafa;"">Remember to mark this instrument 'complete' when done and soft lock</span></p></div>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
arm2_site_shortlabel,screenlog,,text,"Site Label (shortened)",,,,,,,,y,,,,,"Derived
Miscellaneous
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(
find (' (', [record-dag-label]) <> 0,
left([record-dag-label],find (' (', [record-dag-label])-1),
[record-dag-label])
)"
ref_id_arm2_dag_pfx,screenlog,,text,"Reference Number - DAG Prefix",,,,,,,,,,,,,"Derived
Miscellaneous
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(left([record-dag-label],2)='' and [screenlog_complete] = '',
    left([user-dag-label],2),
    left([record-dag-label],2)
)
)"
ref_id_arm2_len_valid,screenlog,,calc,"Reference Number is a valid length?","if(
    length([ref_id]) = 13,
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_pfx_valid,screenlog,,calc,"Reference Number prefix is valid?","if(
    left([ref_id], 5) = concat(""SL-"", left([record-dag-label], 2)),
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_sp_valid,screenlog,,calc,"Reference Number has dash separator between DAG prefix and number?","if(
     mid([ref_id], 6, 1) = '-',
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_mo_valid,screenlog,,calc,"Reference Number suffix (month) is valid?","if(
    mid([ref_id], 7, 3) = ""Jan"" or mid([ref_id], 7, 3) = ""Feb"" or mid([ref_id], 7, 3) = ""Mar"" or mid([ref_id], 7, 3) = ""Apr"" or mid([ref_id], 7, 3) = ""May"" or mid([ref_id], 7, 3) = ""Jun"" or mid([ref_id], 7, 3) = ""Jul"" or mid([ref_id], 7, 3) = ""Aug"" or mid([ref_id], 7, 3) = ""Sep"" or mid([ref_id], 7, 3) = ""Oct"" or mid([ref_id], 7, 3) = ""Nov"" or mid([ref_id], 7, 3) = ""Dec"",
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_mo,screenlog,,calc,"Reference Number suffix (month)","if([ref_id_arm2_mo_valid] = '1', 
concat(
    if(mid([ref_id], 7, 3) = ""Jan"",'1',''),
    if(mid([ref_id], 7, 3) = ""Feb"",'2',''),
    if(mid([ref_id], 7, 3) = ""Mar"",'3',''),
    if(mid([ref_id], 7, 3) = ""Apr"",'4',''),
    if(mid([ref_id], 7, 3) = ""May"",'5',''),
    if(mid([ref_id], 7, 3) = ""Jun"",'6',''),
    if(mid([ref_id], 7, 3) = ""Jul"",'7',''),
    if(mid([ref_id], 7, 3) = ""Aug"",'8',''),
    if(mid([ref_id], 7, 3) = ""Sep"",'9',''),
    if(mid([ref_id], 7, 3) = ""Oct"",'10',''),
    if(mid([ref_id], 7, 3) = ""Nov"",'11',''),
    if(mid([ref_id], 7, 3) = ""Dec"",'12','')
)
, '')",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_yr_valid,screenlog,,calc,"Reference Number suffix (year) is valid?","if(
    right([ref_id], 4) = 2025 or right([ref_id], 4) = 2026 or right([ref_id], 4) = 2027 or right([ref_id], 4) = 2028 or right([ref_id], 4) = 2029 or right([ref_id], 4) = 2030 or right([ref_id], 4) = 2031 or right([ref_id], 4) = 2032 or right([ref_id], 4) = 2033 or right([ref_id], 4) = 2034,
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_yr,screenlog,,calc,"Reference Number suffix (year)","if([ref_id_arm2_yr_valid] = '1', right([ref_id], 4), '')",,,,,,,,,,,,"Miscellaneous
@HIDDEN @HIDDEN-PDF"
ref_id_arm2_valid,screenlog,,calc,"Reference Number is valid?","if(
    [ref_id_arm2_len_valid] = '1' and [ref_id_arm2_pfx_valid] = '1' and [ref_id_arm2_sp_valid] = '1' and [ref_id_arm2_mo_valid] = '1' and [ref_id_arm2_yr_valid] = '1',
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
